L_id	k1	hom	headword_iast	base_slp1	base_iast	cue	base_type	deriv_kind	suffix	citation
34010	duzvanta		duṣvanta	duzyanta	duṣyanta	von	nominal	denominal-other		H. 702
34022	duHzvapnya		duḥṣvapnya	duz	duṣ	von	root	krt		VS. PRĀT. 3,71
34034	dustyaja		dustyaja	tyaj	tyaj	von	root	krt		BHĀG. P. 2,10,48
34076	duha		duha	duh	duh	von	root	krt		
34077	duhitar		duhitar	duh	duh	von	root	krt		UṆĀDIS. 2,96
34078	duhituHpati		duhituḥpati	duhitar	duhitar	von	nominal	denominal-other		P. 6,3,24
34079	duhitftva		duhitṛtva	duhitar	duhitar	von	nominal	denominal-other		MBH. 13,202
34081	duhitfmant		duhitṛmant	duhitar	duhitar	von	nominal	denominal-other		ŚĀṄKH. GṚHY. 1,14
34082	duhya		duhya	duh	duh	von	root	krt		KĀŚ.
34093	dUtaka	1	dūtaka	dUta	dūta	von	nominal	taddhita	ka	MBH. 3,15438
34096	dUtatva		dūtatva	dUta	dūta	von	nominal	taddhita	tva	PAÑCAT. 24,5
34099	dUtItva		dūtītva	dUtI	dūtī	von	nominal	taddhita	tva	ŚUK. 44,4
34100	dUtya		dūtya	dUta	dūta	von	nominal	taddhita	ya	P. 4,4,120
34105	dUraAdiS		dūraādiś	dUra	dūra	von	nominal	denominal-other		ṚV. 1,139,10
34107	dUraupabdas		dūraupabdas	˚upabdi	˚upabdi	von	nominal	denominal-other		ṚV. 7,21,2
34108	dUraka		dūraka	dUra	dūra	von	nominal	taddhita	ka	ṚV. 10,57,7
34115	dUraMkaraRa		dūraṃkaraṇa	dUra	dūra	von	nominal	denominal-other		VOP. 26,63
34116	dUraMgata		dūraṃgata	dUra	dūra	von	nominal	denominal-other		ŚAṂK.
34120	dUratas		dūratas	dUra	dūra	von	nominal	taddhita	tas	AV. 4,38,5
34121	dUratva		dūratva	dUra	dūra	von	nominal	taddhita	tva	BHĀṢĀPAR. 130
34128	dUrapAtin		dūrapātin	dUrapAta	dūrapāta	von	nominal	taddhita	in	MBH. 8,1891
34134	dUraMBavizRu		dūraṃbhaviṣṇu	dUra	dūra	von	nominal	denominal-other		VOP. 26,63
34145	dUreanta		dūreanta	dUra	dūra	von	nominal	denominal-other		ṚV. 1,185,7
34150	dUretya		dūretya	dUre	dūre	von	nominal	denominal-other		
34168	dUrvAvant		dūrvāvant	dUrvA	dūrvā	von	nominal	denominal-other		KUMĀRAS. 7,14
34176	dUza		dūṣa	duz	duṣ	von	root	krt		MBH. 13,4274
34187	dUzya	1	dūṣya	duz	duṣ	von	root	krt		H. an. 2,367
34191	dfMha		dṛṃha	darh	darh	von	nominal	denominal-other		
34206	dfkza		dṛkṣa	darS	darś	von	nominal	denominal-other		
34234	dfQatA		dṛḍhatā	dfQa	dṛḍha	von	nominal	taddhita	tA	PRAB. 13,7
34236	dfQatva		dṛḍhatva	dfQa	dṛḍha	von	nominal	taddhita	tva	PAÑCAT. I, 120
34252	dfQaprahArin		dṛḍhaprahārin	˚hAritA	˚hāritā	von	nominal	denominal-other		VYUTP. 120
34255	dfQamuzwi		dṛḍhamuṣṭi	kfpaRa	kṛpaṇa	von	nominal	denominal-other		HARIV. 1138
34257	dfQay		dṛḍhay	dfQa	dṛḍha	von	nominal	denominal-other		PRAB. 95,12
34291	dfQeyu		dṛḍheyu	dfQa	dṛḍha	von	nominal	denominal-other		MBH. 13,7114
34294	dfti		dṛti	dar	dar	von	nominal	denominal-other		UṆĀDIS. 4,183
34298	dftya		dṛtya	dar	dar	von	nominal	denominal-other		P. 3,1,109
34299	dfDra		dṛdhra	Dar	dhar	von	nominal	denominal-other		ṚV. 4,1,15
34300	dfn		dṛn	dfnBU	dṛnbhū	von	nominal	denominal-other		DURGĀD.
34306	dfbDi		dṛbdhi	darB	darbh	von	nominal	denominal-other		H. an. 2,302
34311	dfvan		dṛvan	dar	dar	von	nominal	denominal-other		MAHĪDH.
34313	dfSa		dṛśa	darS	darś	von	nominal	denominal-other		ŚABDAC.
34314	dfSati		dṛśati	darS	darś	von	nominal	denominal-other		ṚV. 6,3,3
34317	dfSAkANkzya		dṛśākāṅkṣya	dfS	dṛś	von	root	krt		ŚABDAC.
34318	dfSAna		dṛśāna	darS	darś	von	nominal	denominal-other		UṆĀDIS. 2,90
34320	dfSi		dṛśi	darS	darś	von	nominal	denominal-other		YOGAS. 2,20
34324	dfSopama		dṛśopama	dfS	dṛś	von	root	krt		ŚABDAC.
34325	dfSya		dṛśya	darS	darś	von	nominal	denominal-other		BALA
34327	dfSyatA		dṛśyatā	dfSya	dṛśya	von	nominal	taddhita	tA	BHARTṚ. 1,95
34331	dfSvan		dṛśvan	darS	darś	von	nominal	denominal-other		P. 3,2,94
34334	dfzad		dṛṣad	dar	dar	von	nominal	denominal-other		UṆĀDIS. 1,130
34335	dfzadimAzaka		dṛṣadimāṣaka	dfzad	dṛṣad	von	nominal	denominal-other		P. 6,3,10
34336	dfzady		dṛṣady	dfzad	dṛṣad	von	nominal	denominal-other		P. 6,4,50
34337	dfzadvant		dṛṣadvant	dfzad	dṛṣad	von	nominal	denominal-other		P. 8,2,10
34341	dfzwatva		dṛṣṭatva	dfzwa	dṛṣṭa	von	nominal	taddhita	tva	VARĀH. BṚH. S. 5,25
34343	dfzwanazwa		dṛṣṭanaṣṭa	dfzwanazwatA	dṛṣṭanaṣṭatā	von	nominal	denominal-other		KATHĀS. 1,62
34351	dfzwi		dṛṣṭi	darS	darś	von	nominal	denominal-other		P. 3,4,74
34351	dfzwi		dṛṣṭi	prajYAna	prajñāna	von	nominal	denominal-other		P. 3,4,74
34357	dfzwin		dṛṣṭin	dfzwa	dṛṣṭa	von	nominal	taddhita	in	MBH. 1,1714
34364	dfzwimant		dṛṣṭimant	dfzwi	dṛṣṭi	von	nominal	denominal-other		MBH. 3,1278
34373	deya		deya	dA	dā	von	root	krt		VOP. 26,5
34377	deva	1	deva	devadatta	devadatta	von	nominal	denominal-other		P. 3,1,134
34381	devaka		devaka	devI	devī	von	nominal	denominal-other		MBH. 2,1396
34381	devaka		devaka	devadattA	devadattā	von	nominal	denominal-other		MBH. 2,1396
34381	devaka		devaka	devadatta	devadatta	von	nominal	denominal-other		MBH. 2,1396
34394	devakIya		devakīya	deva	deva	von	nominal	denominal-other		P. 4,2,138
34406	devakya		devakya	deva	deva	von	nominal	denominal-other		ŚĀṄKH. BR. 27,3
34430	devaMgama		devaṃgama	deva	deva	von	nominal	denominal-other		TS. 1,1,2,2
34449	devataraTa		devataratha	tar	tar	von	nominal	denominal-other		Ind. St. 4,373
34452	devatA	1	devatā	deva	deva	von	nominal	taddhita	tA	ṚV. 10,24,6
34453	devatA	2	devatā	devatA	devatā	von	nominal	denominal-other		ṚV. 1,55,3
34458	devatAt		devatāt	deva	deva	von	nominal	denominal-other		ṚV. 9,97,27
34465	devatAmaya		devatāmaya	devatA	devatā	von	nominal	taddhita	maya	KAṬHOP. 4,7
34472	devatya		devatya	devatA	devatā	von	nominal	taddhita	ya	P. 5,4,24
34473	devatrA		devatrā	deva	deva	von	nominal	denominal-other		P. 5,4,56
34501	devana	1	devana	div	div	von	root	krt		AK. 2,10,45
34502	devana	2	devana	div	div	von	root	krt		BHAR.
34577	devamaya		devamaya	deva	deva	von	nominal	taddhita	maya	HARIV. 2798
34594	devay		devay	deva	deva	von	nominal	denominal-other		ṚV. 2,26,1
34609	devayitar		devayitar	div	div	von	root	krt		P. 3,2,147
34610	devayu		devayu	devay	devay	von	nominal	denominal-other		UJJVAL.
34617	devara		devara	div	div	von	root	krt		ŚĀNT. 3,18
34631	devarUpin		devarūpin	deva	deva	von	nominal	denominal-other		N. 13,47
34633	devala	1	devala	deva	deva	von	nominal	denominal-other		SIDDH. K. 250,b,7
34635	devalaka		devalaka	devala	devala	von	nominal	taddhita	ka	DEVALA
34643	devavat		devavat	deva	deva	von	nominal	taddhita	vat	KĀTY. ŚR. 5,10,16
34645	devavant		devavant	deva	deva	von	nominal	denominal-other		ṚV. 8,31,15
34668	devavratin		devavratin	devavrata	devavrata	von	nominal	taddhita	in	MBH. 13,3534
34673	devaSas		devaśas	deva	deva	von	nominal	taddhita	Sas	ṚV. 3,21,5
34698	devasaBya		devasabhya	devasaBA	devasabhā	von	nominal	taddhita	ya	TRIK. 2,10,17
34703	devasAt		devasāt	deva	deva	von	nominal	denominal-other		MBH. 7,8687
34748	devAnAMpriya		devānāṃpriya	deva	deva	von	nominal	denominal-other		P. 5,3,14
34782	devika		devika	devadatta	devadatta	von	nominal	denominal-other		P. 5,3,78
34783	devitar		devitar	div	div	von	root	krt		MBH. 2,2005
34786	devin		devin	div	div	von	root	krt		MBH. 3,15204
34787	deviya		deviya	devadatta	devadatta	von	nominal	denominal-other		P. 5,3,79
34789	devIka		devīka	devI	devī	von	nominal	taddhita	ka	KATHĀS. 18,23
34795	devItva		devītva	devI	devī	von	nominal	taddhita	tva	KATHĀS. 12,163
34815	deveSaya		deveśaya	deva	deva	von	nominal	denominal-other		MBH. 12,12864
34823	devya		devya	deva	deva	von	nominal	taddhita	ya	ṚV. 4,36,1
34826	deSa		deśa	diS	diś	von	root	krt		AK. 2,1,8
34833	deSanA		deśanā	diS	diś	von	root	krt		ŚATR. 14,74
34844	deSika		deśika	deSa	deśa	von	nominal	taddhita	ika	MBH. 7,143
34845	deSin		deśin	diS	diś	von	root	krt		ŚABDAR.
34847	deSIya		deśīya	deSa	deśa	von	nominal	taddhita	Iya	HĀR. 20
34849	deSya		deśya	deSa	deśa	von	nominal	taddhita	ya	P. 4,3,54
34849	deSya		deśya	diS	diś	von	root	krt		P. 4,3,54
34850	dezwar		deṣṭar	diS	diś	von	root	krt		BHĀG. P. 6,7,14
34854	dezRa		deṣṇa	dA	dā	von	root	krt		ṚV. 2,9,4
34855	dezRu		deṣṇu	dA	dā	von	root	krt		UṆĀDIS. 3,16
34856	deha		deha	dih	dih	von	root	krt		P. 2,4,31
34873	dehaMBara		dehaṃbhara	deha	deha	von	nominal	denominal-other		BHĀG. P. 5,5,3
34877	dehalI		dehalī	dih	dih	von	root	krt		P. 4,1,41
34878	dehavant		dehavant	deha	deha	von	nominal	denominal-other		R. 6,99,44
34885	dehikA		dehikā	dih	dih	von	root	krt		TRIK. 2,5,13
34886	dehin		dehin	deha	deha	von	nominal	taddhita	in	M. 1,30
34888	dEkza		daikṣa	dIkzA	dīkṣā	von	nominal	denominal-other		LĀṬY. 1,5,14
34889	dEteya	1	daiteya	diti	diti	von	nominal	taddhita	eya	AK. 1,1,1,7
34891	dEtya	1	daitya	diti	diti	von	nominal	taddhita	ya	P. 4,1,85
34908	dEDizavya		daidhiṣavya	diDizU	didhiṣū	von	nominal	denominal-other		KĀTY. ŚR. 2,1,22
34909	dEna	1	daina	dina	dina	von	nominal	denominal-other		ŚKDR.
34910	dEna	2	daina	dIna	dīna	von	nominal	denominal-other		ŚKDR.
34911	dEnaMdina		dainaṃdina	dina	dina	von	nominal	denominal-other		BHĀG. P. 3,11,25
34913	dEnika		dainika	dina	dina	von	nominal	taddhita	ika	ŚKDR.
34914	dEnya		dainya	dIna	dīna	von	nominal	taddhita	ya	AK. 3,4,24,155
34915	dEpa		daipa	dIpa	dīpa	von	nominal	denominal-other		ŚKDR.
34916	dEyAMpAti		daiyāṃpāti	dyAMpAta	dyāṃpāta	von	nominal	denominal-other		ŚAT. BR. 9,5,1,64
34917	dErGa		dairgha	dIrGa	dīrgha	von	nominal	denominal-other		P. 5,1,122
34920	dErGavaratra		dairghavaratra	dIrGa	dīrgha	von	nominal	denominal-other		P. 4,2,73
34922	dErGya		dairghya	dIrGa	dīrgha	von	nominal	taddhita	ya	AK. 2,6,3,16
34923	dElIpi		dailīpi	dilIpa	dilīpa	von	nominal	denominal-other		P. 2,4,61
34924	dEva		daiva	deva	deva	von	nominal	denominal-other		ṚV.
34924	dEva		daiva	vivAha	vivāha	von	nominal	denominal-other		ṚV.
34927	dEvakzatri		daivakṣatri	devakzatra	devakṣatra	von	nominal	denominal-other		HARIV. 1994
34930	dEvajana		daivajana	devajana	devajana	von	nominal	denominal-other		AV. 10,2,22
34932	dEvata		daivata	devatA	devatā	von	nominal	denominal-other		KĀTY. ŚR. 6,8,18
34935	dEvatarasa		daivatarasa	devataras	devataras	von	nominal	denominal-other		ĀŚV. ŚR. 12,10
34936	dEvatareya		daivatareya	devatara	devatara	von	nominal	taddhita	eya	P. 4,1,123
34937	dEvatas		daivatas	dEva	daiva	von	nominal	taddhita	tas	KATHĀS. 25,197
34938	dEvatA		daivatā	dEva	daiva	von	nominal	taddhita	tA	
34939	dEvati		daivati	devatA	devatā	von	nominal	denominal-other		P. 2,4,61
34940	dEvatya		daivatya	devatA	devatā	von	nominal	taddhita	ya	YĀJÑ. 1,99
34942	dEvadatti		daivadatti	dvidatta	dvidatta	von	nominal	denominal-other		P. 4,1,88
34950	dEvamati		daivamati	devamata	devamata	von	nominal	denominal-other		P. 2,4,61
34951	dEvamitri		daivamitri	devamitra	devamitra	von	nominal	denominal-other		P. 2,4,61
34953	dEvayajYi		daivayajñi	devayajYa	devayajña	von	nominal	denominal-other		P. 4,1,81
34955	dEvayAneya		daivayāneya	devayAnI	devayānī	von	nominal	taddhita	eya	MBH. 1,3163
34958	dEvaraTAyani		daivarathāyani	devaraTa	devaratha	von	nominal	denominal-other		P. 4,1,154
34959	dEvarAja		daivarāja	devarAja	devarāja	von	nominal	denominal-other		Ind. St. 3,220
34961	dEvarAjika		daivarājika	devarAja	devarāja	von	nominal	taddhita	ika	P. 4,2,116
34962	dEvarAjya		daivarājya	devarAja	devarāja	von	nominal	taddhita	ya	MBH. 5,522
34963	dEvarAti		daivarāti	devarAta	devarāta	von	nominal	denominal-other		MBH. 12,11546
34964	dEvala		daivala	devala	devala	von	nominal	denominal-other		ĀŚV. ŚR. 12,14
34969	dEvaSarmi		daivaśarmi	devaSarman	devaśarman	von	nominal	denominal-other		P. 4,1,96
34971	dEvasTAni		daivasthāni	devasTAna	devasthāna	von	nominal	denominal-other		P. 2,4,59
34973	dEvahava		daivahava	dEvahavya	daivahavya	von	nominal	denominal-other		P. 4,2,111
34974	dEvahavya		daivahavya	devahU	devahū	von	nominal	denominal-other		P. 4,1,105
34975	dEvAkari		daivākari	divAkara	divākara	von	nominal	denominal-other		ŚKDR.
34978	dEvAdika		daivādika	div	div	von	root	krt		P. 8,3,65
34979	dEvAnIka		daivānīka	devAnIka	devānīka	von	nominal	denominal-other		Ind. St. 3,220
34980	dEvApa		daivāpa	devApi	devāpi	von	nominal	denominal-other		ŚAT. BR. 13,5,4,1
34982	dEvAvfDa		daivāvṛdha	devAvaDa	devāvadha	von	nominal	denominal-other		AIT. BR. 7,34
34983	dEvAsura		daivāsura	deva	deva	von	nominal	denominal-other		ŚAT. BR. 11,1,6,9
34984	dEvika		daivika	deva	deva	von	nominal	taddhita	ika	M. 1,65
34985	dEvin		daivin	dEva	daiva	von	nominal	taddhita	in	VET. 27,2
34989	dEvopahataka		daivopahataka	han	han	von	root	krt		KĀM. NĪTIS. 9,25
34990	dEvya		daivya	deva	deva	von	nominal	taddhita	ya	ṚV. 2,30,11
34991	dESika		daiśika	deSa	deśa	von	nominal	taddhita	ika	BHĀṢĀP. 120
34992	dESeya		daiśeya	diS	diś	von	root	krt		P. 4,1,123
34993	dEzwika		daiṣṭika	dizwa	diṣṭa	von	nominal	taddhita	ika	P. 4,4,60
34994	dEhika		daihika	deha	deha	von	nominal	taddhita	ika	M. 5,134
34997	dogDar		dogdhar	duh	duh	von	root	krt		AV. 10,10,5
34999	doGa		dogha	duG	dugh	von	nominal	denominal-other		ṚV. 5,15,5
35003	doman		doman	du	du	von	root	krt		
35010	dola		dola	dul	dul	von	root	krt		ŚKDR.
35012	dolAy		dolāy	dolA	dolā	von	nominal	denominal-other		HIT. IV, 53
35016	doza	2	doṣa	dozA	doṣā	von	nominal	denominal-other		BHĀG. P. 6,8,19
35016	doza	2	doṣa	pradoza	pradoṣa	von	nominal	denominal-other		BHĀG. P. 6,8,19
35021	dozaRiSriz		doṣaṇiśriṣ	dozan	doṣan	von	nominal	denominal-other		AV. 6,9,2
35022	dozaRya		doṣaṇya	dozan	doṣan	von	nominal	denominal-other		ṚV. 10,163,2
35023	dozatva		doṣatva	doza	doṣa	von	nominal	taddhita	tva	SĀH. D. 3,10
35026	dozala		doṣala	doza	doṣa	von	nominal	denominal-other		SUŚR. 1,173,18
35035	dozAtana		doṣātana	dozA	doṣā	von	nominal	taddhita	tana	P. 4,3,23
35041	dozika		doṣika	doza	doṣa	von	nominal	taddhita	ika	ŚABDAC.
35042	dozin		doṣin	duz	duṣ	von	root	krt		P. 3,2,142
35044	dozmant		doṣmant	dos	dos	von	nominal	denominal-other		VOP. 7,27
35047	doha		doha	duh	duh	von	root	krt		ṚV. 10,42,2
35053	dohadavatI		dohadavatī	dohada	dohada	von	nominal	denominal-other		AK. 2,6,1,21
35055	dohadin		dohadin	dohada	dohada	von	nominal	taddhita	in	VĀSAVAD.
35056	dohadohIya		dohadohīya	doha	doha	von	nominal	denominal-other		Ind. St. 3,220
35057	dohana		dohana	duh	duh	von	root	krt		ṚV. 1,144,2
35061	dohas	2	dohas	duh	duh	von	root	krt		ṚV. 10,11,1
35063	dohita		dohita	doha	doha	von	nominal	denominal-other		P. 5,2,36
35064	dohin		dohin	duh	duh	von	root	krt		P. 3,2,142
35065	dohIyaMs		dohīyaṃs	duh	duh	von	root	krt		P. 5,3,59
35066	dohya		dohya	duh	duh	von	root	krt		P. 6,1,214
35069	dOtya		dautya	dUta	dūta	von	nominal	taddhita	ya	UJJVAL.
35070	dOrAtmya		daurātmya	durAtman	durātman	von	nominal	denominal-other		MBH. 2,641
35071	dOrita		daurita	durita	durita	von	nominal	denominal-other		ŚAT. BR. 9,5,2,1
35072	dOruDara		daurudhara	duruDarA	durudharā	von	nominal	denominal-other		VARĀH. BṚH. 13,4
35073	dOreSravasa		daureśravasa	dUreSravas	dūreśravas	von	nominal	denominal-other		PAÑCAV. BR. 25,15,3
35074	dOreSruta		daureśruta	dUreSruta	dūreśruta	von	nominal	denominal-other		PAÑCAV. BR. 25,15,3
35076	dOrgatya		daurgatya	durgata	durgata	von	nominal	taddhita	ya	MBH. 2,183
35077	dorganDya		dorgandhya	durganDa	durgandha	von	nominal	denominal-other		MBH. 3,15454
35080	dOrgAyaRa		daurgāyaṇa	durga	durga	von	nominal	denominal-other		P. 4,1,99
35081	dOrgya		daurgya	durga	durga	von	nominal	taddhita	ya	WILS.
35082	dOrjana		daurjana	durjana	durjana	von	nominal	denominal-other		DAMAYANTĪKATHĀ
35084	dOrjIvitya		daurjīvitya	duz	duṣ	von	root	krt		AV. 4,17,3
35085	dOrbala		daurbala	durbala	durbala	von	nominal	denominal-other		R. 2,43,17
35087	dOrbrAhmaRya		daurbrāhmaṇya	durbrAhmaRa	durbrāhmaṇa	von	nominal	taddhita	ya	KĀTY. ŚR. 625,9
35088	dOrBAgiReya		daurbhāgiṇeya	durBagA	durbhagā	von	nominal	denominal-other		P. 4,1,126
35089	dOrBAgya		daurbhāgya	durBaga	durbhaga	von	nominal	denominal-other		P. 7,3,19
35090	dOrBrAtra		daurbhrātra	durBrAtar	durbhrātar	von	nominal	denominal-other		P. 5,1,130
35091	dOrmanasya		daurmanasya	durmanas	durmanas	von	nominal	taddhita	ya	VYUTP. 44
35092	dOrmantrya		daurmantrya	durmantra	durmantra	von	nominal	taddhita	ya	BHARTṚ. 2,34
35093	dOrmitri		daurmitri	durmitrA	durmitrā	von	nominal	denominal-other		P. 4,1,96
35094	dOrmuKi		daurmukhi	durmuKa	durmukha	von	nominal	denominal-other		MBH. 7,7008
35096	dOryoDani		dauryodhani	duryoDana	duryodhana	von	nominal	denominal-other		MBH. 6,2367
35097	dOrvacasya		daurvacasya	durvacas	durvacas	von	nominal	taddhita	ya	VYUTP. 192
35101	dOrvratya		daurvratya	durvrata	durvrata	von	nominal	taddhita	ya	VS. 39,9
35103	dOrhfda		daurhṛda	durhfd	durhṛd	von	nominal	denominal-other		MBH. 5,751
35104	dOrhfdaya		daurhṛdaya	durhfdaya	durhṛdaya	von	nominal	denominal-other		P. 5,1,130
35105	dOleya		dauleya	duli	duli	von	nominal	taddhita	eya	P. 6,4,148
35107	dOvArika		dauvārika	dvAr	dvār	von	nominal	denominal-other		P. 7,3,4
35109	dOScarmya		dauścarmya	duScarman	duścarman	von	nominal	denominal-other		M. 11,49
35110	dOScarya		dauścarya	duz	duṣ	von	root	krt		R. 6,103,20
35111	dOHSaleya		dauḥśaleya	duHSalA	duḥśalā	von	nominal	taddhita	eya	Verz. d. B. H. 117,4 v. u.
35113	dOHSIlya		dauḥśīlya	duHSIla	duḥśīla	von	nominal	taddhita	ya	VYUTP. 164
35114	dOzka		dauṣka	dos	dos	von	nominal	denominal-other		PAT.
35115	dOzkula		dauṣkula	duzkula	duṣkula	von	nominal	denominal-other		MBH. 12,1330
35118	dOzkulya	2	dauṣkulya	duzkula	duṣkula	von	nominal	taddhita	ya	BHĀG. P. 1,18,18
35119	dOzkftya		dauṣkṛtya	duzkfta	duṣkṛta	von	nominal	taddhita	ya	PAÑCAV. BR. 1,1
35120	dOzwya		dauṣṭya	duzwa	duṣṭa	von	nominal	taddhita	ya	VARĀH. BṚH. S. 52,119
35121	dOzWava		dauṣṭhava	duzWu	duṣṭhu	von	nominal	denominal-other		P. 5,1,129
35122	dOzpuruzya		dauṣpuruṣya	duzpuruza	duṣpuruṣa	von	nominal	taddhita	ya	P. 5,1,124
35123	dOzmanta		dauṣmanta	duzmanta	duṣmanta	von	nominal	denominal-other		MBH. 7,2377
35126	dOzyanti		dauṣyanti	duzyanta	duṣyanta	von	nominal	denominal-other		TRIK. 2,8,9
35127	dOzvanti		dauṣvanti	duzvanta	duṣvanta	von	nominal	denominal-other		H. 702
35128	dOHzanti		dauḥṣanti	duHzanta	duḥṣanta	von	nominal	denominal-other		AIT. BR. 8,23
35129	dOHzvapnya		dauḥṣvapnya	duz	duṣ	von	root	krt		AV. 4,17,5
35131	dOHstra		dauḥstra	duHstrI	duḥstrī	von	nominal	denominal-other		P. 5,1,130
35133	dOhitra		dauhitra	duhitar	duhitar	von	nominal	denominal-other		P. 4,1,104
35136	dOhitrAyaRa		dauhitrāyaṇa	dOhitra	dauhitra	von	nominal	denominal-other		P. 4,1,100
35143	dyAMpAta		dyāṃpāta	dyo	dyo	von	nominal	denominal-other		
35154	dyukza		dyukṣa	kzi	kṣi	von	root	krt		ṚV. 7,34,24
35158	dyugat		dyugat	gam	gam	von	root	krt		NAIGH. 2,15
35165	dyut	4	dyut	dyu	dyu	von	root	krt		BHAṬṬ. 5,47
35167	dyutadyAman		dyutadyāman	dyut	dyut	von	root	krt		ṚV. 5,80,1
35169	dyutAna		dyutāna	dyut	dyut	von	root	krt		VS. 5,27
35170	dyuti		dyuti	dyut	dyut	von	root	krt		AK. 1,1,2,19
35173	dyutimant		dyutimant	dyuti	dyuti	von	nominal	denominal-other		VARĀH. BṚH. S. 17,2
35174	dyutilA		dyutilā	dyuti	dyuti	von	nominal	denominal-other		RATNAM.
35184	dyuma		dyuma	dyu	dyu	von	root	krt		P. 5,2,108
35187	dyumadgAman		dyumadgāman	gA	gā	von	root	krt		SV. I, 2,2,4
35188	dyumant		dyumant	dyu	dyu	von	root	krt		ṚV. 6,10,2
35190	dyumna		dyumna	dyu	dyu	von	root	krt		ṚV. 2,2,10
35191	dyumnavant		dyumnavant	dyumna	dyumna	von	nominal	denominal-other		ṚV. 3,29,15
35197	dyumnin		dyumnin	dyumna	dyumna	von	nominal	taddhita	in	ṚV. 8,19,6
35201	dyuvan		dyuvan	div	div	von	root	krt		UṆĀDIS. 1,156
35203	dyus		dyus	div	div	von	root	krt		
35203	dyus		dyus	divas	divas	von	nominal	denominal-other		
35209	dyU		dyū	devayati	devayati	von	nominal	denominal-other		BHAṬṬ. 5,47
35209	dyU		dyū	div	div	von	root	krt		BHAṬṬ. 5,47
35215	dyUtatA		dyūtatā	dyUta	dyūta	von	nominal	taddhita	tA	MBH. 12,2519
35227	dyota		dyota	dyut	dyut	von	root	krt		AK. 1,1,2,36
35229	dyotana		dyotana	dyotani	dyotani	von	nominal	denominal-other		ṚV. 8,29,2
35230	dyotanaka		dyotanaka	dyotana	dyotana	von	nominal	taddhita	ka	Verz. d. Oxf. H. No. 204
35231	dyotani		dyotani	dyut	dyut	von	root	krt		ṚV. 3,58,1
35234	dyotis		dyotis	dyut	dyut	von	root	krt		RAGH. 13,68
35238	dyOta		dyauta	dyota	dyota	von	nominal	denominal-other		Ind. St. 3,220
35239	dyOtAna		dyautāna	dyutAna	dyutāna	von	nominal	denominal-other		LĀṬY. 8,6,5
35240	dyOttra		dyauttra	dyut	dyut	von	root	krt		UṆĀDIS. 4,160
35241	dyOrdA		dyaurdā	dyo	dyo	von	nominal	denominal-other		KĀṬH. 39,9
35255	drapsavant		drapsavant	drapsa	drapsa	von	nominal	denominal-other		AV. 18,4,18
35263	drava		drava	dru	dru	von	root	krt		ṚV. 4,40,2
35264	dravaka		dravaka	dru	dru	von	root	krt		VOP. 26,41
35265	dravaccakra		dravaccakra	dru	dru	von	root	krt		ṚV. 8,34,18
35267	dravaRa		dravaṇa	dru	dru	von	root	krt		TBR. 2,7,7,7
35269	dravatA		dravatā	drava	drava	von	nominal	taddhita	tA	KĀM. NĪTIS. 11,47
35272	dravaty		dravaty	dravant	dravant	von	nominal	denominal-other		GAṆARATN.
35273	dravatva		dravatva	drava	drava	von	nominal	taddhita	tva	TARKAS. 3
35276	dravant		dravant	dru	dru	von	root	krt		NAIGH. 2,15
35277	dravara		dravara	dru	dru	von	root	krt		ṚV. 4,40,2
35279	dravas		dravas	dru	dru	von	root	krt		P. 3,1,27
35281	dravAyya		dravāyya	dru	dru	von	root	krt		VOP. 26,164
35282	dravi		dravi	dru	dru	von	root	krt		SĀY.
35287	draviRavant		draviṇavant	draviRa	draviṇa	von	nominal	denominal-other		PAÑCAV. BR. 7,7,19
35289	draviRasyu		draviṇasyu	draviRa	draviṇa	von	nominal	denominal-other		P. 7,4,36
35290	draviRasvant		draviṇasvant	draviRas	draviṇas	von	nominal	denominal-other		ṚV. 9,85,1
35292	draviRIy		draviṇīy	draviRa	draviṇa	von	nominal	denominal-other		P. 7,4,36
35296	dravitar		dravitar	dru	dru	von	root	krt		SĀY.
35297	dravitnu		dravitnu	dru	dru	von	root	krt		ṚV. 8,63,14
35298	dravIkar		dravīkar	˚karaRa	˚karaṇa	von	nominal	denominal-other		ŚKDR.
35302	dravya	2	dravya	dru	dru	von	root	krt		P. 4,3,161
35306	dravyatva		dravyatva	dravya	dravya	von	nominal	taddhita	tva	TARKAS. 48
35314	drazwar		draṣṭar	darS	darś	von	nominal	denominal-other		AV. 19,47,3
35316	drazwftva		draṣṭṛtva	drazwar	draṣṭar	von	nominal	denominal-other		KAP. 2,29
35318	drahya		drahya	darh	darh	von	nominal	denominal-other		
35319	drahyat		drahyat	darh	darh	von	nominal	denominal-other		ṚV. 2,11,15
35321	drA	2	drā	nidrA	nidrā	von	nominal	denominal-other		DHĀTUP. 22,10
35322	drAk		drāk	drA	drā	von	root	krt		AK. 3,5,2
35323	drAkza		drākṣa	drAkzA	drākṣā	von	nominal	denominal-other		PULASTYA
35326	drAkzAmant		drākṣāmant	drAkzA	drākṣā	von	nominal	denominal-other		P. 8,2,9
35338	drApi	2	drāpi	drA	drā	von	root	krt		MAHĪDH.
35339	drAmila		drāmila	dramila	dramila	von	nominal	denominal-other		H. 854
35341	drAva		drāva	dru	dru	von	root	krt		
35342	drAvaka		drāvaka	dru	dru	von	root	krt		DHAR.
