ранг,кластер_iast,кластер_slp1,частота,доля_%,пример1,пример2
144,ṅkh,NK,85,0.061,śaṅkhadundubhinirghoṣaiḥ,śaṅkhadundubhinirghoṣaḥ
145,śl,Sl,82,0.059,śloko,upaślokam
146,ḍg,qg,80,0.057,khaḍgaṃ,khaḍgavantau
147,nth,nT,80,0.057,panthānaṃ,panthānam
148,psy,psy,71,0.051,prāpsyāmi,lapsyase
149,ktr,ktr,71,0.051,daśākṣaśatavaktrau,yoktraṃ
150,ntv,ntv,71,0.051,sāntvayan,bhavantv
151,ṣm,zm,69,0.049,śleṣmātakamayo,vapuṣmanto
152,ṣṭy,zwy,68,0.049,anāvṛṣṭyāṃ,diṣṭyā
153,lk,lk,67,0.048,valkalaṃ,valkalaṃ
154,ttr,ttr,67,0.048,padmapattraviśālākṣau,padmapattraviśālākṣau
155,tpr,tpr,66,0.047,tvatprasādena,himavatprabhave
156,tsn,tsn,65,0.047,kṛtsnaṃ,kṛtsnaṃ
157,rch,rC,64,0.046,krodhamūrchitaḥ,sthānamūrchanakovidau
158,ṣkr,zkr,63,0.045,niṣkrāntair,niṣkrayaṃ
159,hṇ,hR,62,0.044,agṛhṇītāṃ,pratigṛhṇīṣva
160,mn,mn,62,0.044,nāmnā,nāmnā
161,ddhy,dDy,62,0.044,siddhyarthaṃ,buddhyādhiko
162,rb,rb,61,0.044,durbuddhe,durbuddhir
163,ṭy,wy,60,0.043,koṭyayutaṃ,koṭyo
164,ṭṭ,ww,56,0.040,uccāṭṭāladhvajavatīṃ,dīrghāsipaṭṭiśadharair
165,ṇṇ,RR,56,0.040,ṣaṇṇāṃ,viṣaṇṇavadanās
166,gy,gy,55,0.039,vāgyataḥ,ārogyavardhanam
167,chr,Cr,50,0.036,chrutam,chrutvā
168,lv,lv,50,0.036,bailvāḥ,bilvasahitāḥ
169,try,try,50,0.036,tryaho,pitryaṃ
170,ṣpr,zpr,49,0.035,niṣprabhatāṃ,duṣprāpaṃ
171,hn,hn,48,0.034,jāhnavyās,āhnikam
172,ṇṭ,Rw,48,0.034,lokakaṇṭakam,tapasvikaṇṭakaṃ
173,ṅgh,NG,47,0.034,laṅghanam,jaṅghe
174,rdhn,rDn,47,0.034,mūrdhni,mūrdhni
175,ṇṭh,RW,47,0.034,śitikaṇṭho,śitikaṇṭhasya
176,ndhy,nDy,45,0.032,vindhyaparvatajair,vindhyaparvatam
177,ddhv,dDv,43,0.031,buddhvā,baddhvā
178,ṅm,Nm,42,0.030,prāṅmukho,parāṅmukham
179,rdhv,rDv,41,0.029,ūrdhvam,ūrdhvaretāḥ
180,rl,rl,34,0.024,durlabhāś,durlabhaṃ
181,kty,kty,34,0.024,bhaktyā,yathāśakty
182,rty,rty,33,0.024,hrīśrīkīrtyupamāsu,pravartyatāṃ
183,db,db,33,0.024,madbuddhir,madbalena
184,ntry,ntry,32,0.023,cāmantrya,āmantrya
185,ḍy,qy,32,0.023,nipīḍya,nipīḍya
186,rmy,rmy,31,0.022,dharmyam,adharmyāṃ
187,rdr,rdr,31,0.022,śuṣkārdre,śuṣkārdre
188,bj,bj,31,0.022,kubjāḥ,vikubjā
189,ṇv,Rv,29,0.021,evopaśṛṇvatām,śṛṇvan
190,ñś,YS,29,0.021,dharmābhijanavāñśuciḥ,suniśitāñśarān
191,kn,kn,28,0.020,śaknumaḥ,śaknoty
192,dbhy,dBy,27,0.019,vidvadbhyo,padbhyām
193,hl,hl,27,0.019,vāhlīkaiś,prahlādayaṃs
194,tny,tny,27,0.019,rājapatnyau,munipatnyāṃ
195,gry,gry,26,0.019,pādukāgryābhiṣekaṃ,agryacaturtheṣu
196,ndy,ndy,26,0.019,pratinandya,pratinandya
197,smy,smy,24,0.017,smy,smy
198,ndv,ndv,24,0.017,apratidvandvam,cāpratidvandvaḥ
199,śch,SC,24,0.017,kāñcanoraśchadān,kāñcanoraśchadāś
200,rghy,rGy,23,0.016,pādyārghyāsanavandanaiḥ,arghyam
201,rvy,rvy,22,0.016,abhivādyānupūrvyeṇa,cānupūrvyeṇa
202,tkṣ,tkz,21,0.015,tatkṣaṇam,tatkṣaṇāt
203,km,km,20,0.014,rukmapakṣo,rukmaniṣkasahasre
204,śn,Sn,20,0.014,aśnīteti,aśnāti
205,ḍhy,Qy,20,0.014,uṣṇāḍhyasyaudanasyāpi,āḍhyo
206,cchv,cCv,20,0.014,ucchvasan,ucchvasantam
207,gbh,gB,19,0.014,vaṇigbhir,ṛtvigbhir
208,tsv,tsv,19,0.014,saṃvidhatsva,samādhatsva
209,lg,lg,18,0.013,valgubhāṣair,valgu
210,bdhv,bDv,18,0.013,labdhvā,labdhvā
211,rkṣ,rkz,18,0.013,vānararkṣaniṣevitaḥ,sarkṣavānarāḥ
212,rtv,rtv,17,0.012,tīrtvā,ṣoḍaśartvijaḥ
213,mbhr,mBr,17,0.012,sambhramāt,sambhramaḥ
214,gv,gv,16,0.011,vāgvidāṃ,nāsragvī
215,mby,mby,16,0.011,vilambyate,avalambyatām
216,dgh,dG,16,0.011,tūryodghuṣṭaninādite,tūryodghuṣṭanināditām
217,gny,gny,16,0.011,jāmadagnyo,jāmadagnyaṃ
218,cchy,cCy,15,0.011,āpṛcchya,āpṛcchya
219,lb,lb,15,0.011,śulbakarmaṇi,kilbiṣāt
220,kṣmy,kzmy,15,0.011,lakṣmyā,lakṣmyā
221,ṅgy,Ngy,14,0.010,samāliṅgya,cārusarvāṅgyo
222,yv,yv,14,0.010,sarayvāś,sarayvāś
223,rn,rn,14,0.010,svarnayanaṃ,durnirīkṣyāṃ
224,tkr,tkr,14,0.010,matkrodhakaluṣīkṛtā,satkriyāṃ
225,ṅkṣv,Nkzv,14,0.010,niyuṅkṣva,bhuṅkṣva
226,rjh,rJ,14,0.010,girinirjharasambhūtā,nirjharān
227,rthy,rTy,14,0.010,sāmarthyam,jīvitasāmarthyaṃ
228,rtsy,rtsy,14,0.010,abhinirbhartsya,nirbhartsya
229,rts,rts,14,0.010,nirbhartsayāmāsa,nirbhartsayāmāsa
230,dbhr,dBr,13,0.009,udbhrāntahṛdayaś,udbhrāntacetanaḥ
231,rtm,rtm,13,0.009,vartmani,rathavartmasu
232,rgy,rgy,12,0.009,pravargyaṃ,svargyaṃ
233,tty,tty,12,0.009,parivṛttyātha,vetty
234,ścy,Scy,12,0.009,brahmasaraścyutā,madhuścyutaḥ
235,dhn,Dn,12,0.009,badhnanti,gṛdhnuḥ
236,ptv,ptv,11,0.008,śaptvā,taptvā
