L_id	k1	hom	k2

711	aNgADipa		aNgADipa

712	aNgAra		a/NgAra

713	aNgAraka		aNgAraka

714	aNgArakamaRi		aNgArakamaRi

715	aNgArakita		aNgArakita/

716	aNgArakuzWaka		aNgArakuzWaka

717	aNgAraDAnikA		aNgAraDAnikA

718	aNgAraDAnI		aNgAraDAnI

719	aNgAraparipAcita		aNgAraparipAcita

720	aNgAraparRa		aNgAraparRa

721	aNgArapAtrI		aNgArapAtrI

722	aNgArapuzpa		aNgArapuzpa

723	aNgAramaYjarI		aNgAramaYjarI

724	aNgAramaYjI		aNgAramaYjI

725	aNgAravallarI		aNgAravallarI

726	aNgAravallI		aNgAravallI

727	aNgAraveRu		aNgAraveRu

728	aNgAraSakawI		aNgAraSakawI

729	aNgArAvakzayaRa		aNgArAvakzayaRa

730	aNgAri		aNgAri

731	aNgArikA		aNgArikA

732	aNgAriRI		aNgAriRI

733	aNgArita		aNgArita/

734	aNgArIya		aNgArI/ya

735	aNgAryA		aNgAryA/

736	aNgikA		aNgikA

737	aNgin		aNgin

738	aNgir		aNgir

739	aNgira		a/Ngira

740	aNgiras		a/Ngiras

741	aNgirasa		aNgirasa

742	aNgirasAmayana		aNgirasAmayana

743	aNgirastama		aNgirastama

744	aNgirasvat		aNgirasva/t

745	aNgirasvant		aNgirasvant

746	aNgIkar		aNgIkar

747	aNgIkAra		aNgIkAra

748	aNgIkfta		aNgIkfta

749	aNgIkfti		aNgIkfti

750	aNgIya		aNgI/ya

751	aNgu		aNgu

752	aNguri		aNgu/ri

753	aNgurI		aNgurI

754	aNgurIya		aNgurIya

755	aNgurIyaka		aNgurIyaka

756	aNgula		aNgula

757	aNgulaka		aNgulaka

758	aNguli		aNgu/li

759	aNgulitoraRa		aNgulitoraRa

760	aNgulitra		aNgulitra

761	aNgulitrARa		aNgulitrARa

762	aNgulimudrA		aNgulimudrA

763	aNgulimudrikA		aNgulimudrikA

764	aNgulimowana		aNgulimowana

765	aNgulizaNga		aNgulizaNga

766	aNgulisaMdeSa		aNgulisaMdeSa

767	aNgulI		aNgulI

768	aNgulIka		aNgulIka

769	aNgulIpaYcaka		aNgulIpaYcaka

770	aNgulIya		aNgulI/ya

771	aNgulIyaka		aNgulIyaka

772	aNgulIsaMBUta		aNgulIsaMBUta

773	aNguzWa		aNguzWa

774	aNguzWya		aNguzWya

775	aNgUza		aNgUza

776	aNgezWA		aNgezWA/

777	aNgozin		aNgozi/n

778	aNgya		a/Ngya

779	aNG		aNG

780	aNGa		aNGa

781	aNGas		aNGas

782	aNGAri		a/NGAri

783	aNGas		aNGas

784	aNGri		a/NGri

785	aNGrinAmaka		aNGrinAmaka

786	aNGrinAman		aNGrinAman

787	aNGripa		aNGripa

788	aNGriparRI		aNGriparRI

789	aNGrivalli		aNGrivalli

790	aNGrivallikA		aNGrivallikA

791	ac		ac

792	acakra		acakra/

793	acakzurvizaya		acakzurvizaya

